[-21.8467874804, 41.4364845737]
[-21.8016409333, 41.4403890196]
[-21.7047693318, 41.3675875038]
[-21.5905115681, 41.3487056899]
[-21.6612105493, 41.3881447202]
[-21.5810223646, 41.4193022725]
[-21.6103100489, 41.4272378011]
[-21.6798174986, 41.3865374145]
[-21.7270610017, 41.4228325275]
[-21.7399669311, 41.4054807721]
[-21.7580028467, 41.4145265255]
[-21.7442508745, 41.4467586905]
[-21.7370589926, 41.4269395643]
[-21.7847566297, 41.4105827332]
[-21.7679872214, 41.3683285414]
[-21.8374446510, 41.3822055375]
[-21.8223298594, 41.3673288498]
[-21.7594238488, 41.3767159627]
[-21.7617359830, 41.4129071086]
[-21.7028581781, 41.4191829523]
[-21.6300788952, 41.4242626560]
[-21.5993286380, 41.4303137306]
[-21.5227975060, 41.3843562321]
[-21.6039775370, 41.3723464074]
[-21.5827959720, 41.3328652513]
[-21.5456468683, 41.3704233053]
[-21.4570068771, 41.4033471374]
[-21.4363280410, 41.3864113735]
[-21.3878232601, 41.3944375921]
[-21.4343722178, 41.3311078956]
[-21.4790831589, 41.3468741625]
[-21.4967904724, 41.3359196255]
[-21.5199486173, 41.3510927581]
[-21.5845789715, 41.3919765242]
[-21.4986366151, 41.4243022767]
[-21.4617272828, 41.4059563125]
[-21.5125809831, 41.3673165938]
[-21.4269940370, 41.3760250147]
[-21.4945572816, 41.4650843570]
[-21.4899140548, 41.4199649605]
[-21.4859026259, 41.3779211006]
[-21.4765947657, 41.3883303059]
[-21.4197544951, 41.3465339995]
[-21.3916932982, 41.3335890475]
[-21.4207740922, 41.3239015351]
[-21.4846104460, 41.3165689639]
[-21.5440702283, 41.3100417650]
[-21.4901482579, 41.3000844353]
[-21.5190814907, 41.3190525302]
[-21.6060876242, 41.2895621527]
[-21.6383481541, 41.2854048168]
[-21.5890833291, 41.3287009609]
[-21.5308920339, 41.3187285510]
[-21.5614875792, 41.2880892207]
[-21.6085803908, 41.3352236103]
[-21.7250878008, 41.3818860100]
[-21.7776878267, 41.4229515797]
[-21.6917804258, 41.4306483173]
[-21.7206867302, 41.4416582445]
[-21.7101191480, 41.3758283640]
[-21.7245854237, 41.4148194713]
[-21.7312131437, 41.4256059847]
[-21.7368107642, 41.4353724734]
[-21.7352474391, 41.4190588083]
[-21.7822806565, 41.4554492674]
[-21.8063977161, 41.4135802569]
[-21.7494524460, 41.3468876149]
[-21.7023622894, 41.3845898452]
[-21.7433650991, 41.3979043922]
[-21.7264513605, 41.4081110084]
[-21.6437480943, 41.3653020990]
[-21.6457503700, 41.3534020064]
[-21.6777936766, 41.3188752859]
[-21.7256592657, 41.2877764333]
[-21.7889108123, 41.3346353896]
[-21.7011193484, 41.3727113210]
[-21.7164314382, 41.3619564723]
[-21.6457006168, 41.3736074736]
[-21.6286075092, 41.3614078659]
[-21.6009302687, 41.3745153969]
[-21.5634679602, 41.4111817131]
[-21.6021625884, 41.4478804161]
[-21.6440194975, 41.4320017556]
[-21.5799978186, 41.4379199974]
[-21.4603094725, 41.4159759297]
[-21.4771487098, 41.4003364251]
[-21.5543942309, 41.4129599741]
[-21.5837937643, 41.3980651275]
[-21.6357669166, 41.4100026227]
[-21.6595133744, 41.3951949883]
[-21.6876747927, 41.4065340958]
[-21.6771314015, 41.4156033825]
[-21.6972948338, 41.4002197988]
[-21.7402232973, 41.4117144402]
[-21.7677252853, 41.4468441504]
[-21.8292525521, 41.4806663660]
[-21.8792666104, 41.4865032888]
[-21.8457398486, 41.4636579834]
[-21.8320303012, 41.4428961341]
[-21.7216233980, 41.4695937896]
[-21.6123893728, 41.4690750945]
[-21.6407909010, 41.6245141864]
[-21.7323394470, 41.5944068567]
[-21.7753614335, 41.6139510097]
[-21.7237589572, 41.6278617267]
[-21.7843002124, 41.5696451062]
[-21.8165069841, 41.5638179425]
[-21.7185059017, 41.5531201674]
[-21.8041661573, 41.5997414128]
[-21.7248236394, 41.5121492957]
[-21.6875045723, 41.5063457646]
[-21.7432033619, 41.4301048356]
[-21.6925445189, 41.4548851024]
[-21.6333780270, 41.4277705405]
[-21.6509066797, 41.3316712021]
[-21.6742953721, 41.3421524104]
[-21.7207277779, 41.3784072503]
[-21.7090363677, 41.4103708368]
[-21.7221320108, 41.3913522671]
[-21.7222766349, 41.3983986581]
[-21.8016416202, 41.4332122480]
[-21.8321195005, 41.4389928214]
[-21.8836243634, 41.3956761236]
[-21.9134055226, 41.4296094020]
[-21.9094766035, 41.4101591383]
[-21.8569757166, 41.4905216172]
[-21.9414930394, 41.5198245968]
[-21.9763452707, 41.5200789351]
[-21.8984270991, 41.4415180616]
[-21.8621091816, 41.4442611643]
[-21.8645164718, 41.4482504741]
[-21.7511891901, 41.4226759610]
[-21.8042459543, 41.4549754080]
[-21.8408217784, 41.4346165693]
[-21.8081129180, 41.4380853730]
[-21.8204350008, 41.4679838753]
[-21.7466603255, 41.5174846953]
[-21.8055276202, 41.4931286943]
[-21.8428439030, 41.5446152049]
[-21.8765259294, 41.5170820405]
[-21.8227664703, 41.5128762951]
[-21.7967793988, 41.4600602974]
[-21.7365990559, 41.4842530591]
[-21.6808466197, 41.4320543252]
[-21.6782778548, 41.4352244792]
[-21.6582001496, 41.4376132103]
[-21.6036928788, 41.4385543425]
[-21.5840734880, 41.4158343013]
[-21.6092665602, 41.4214365480]
[-21.5968854436, 41.4254049802]
[-21.6287581010, 41.4558537838]
[-21.5979016340, 41.4568094402]
